Team,Name,Number,Position,Age,Height,Weight,College,Salary
Dallas Mavericks,J.J. Barea,5,PG,31,6-0,185,Northeastern,4290000
Dallas Mavericks,Jeremy Evans,21,SF,28,06-Sep,200,Western Kentucky,1100602
Dallas Mavericks,Raymond Felton,2,PG,31,06-Jan,205,North Carolina,3950313
Dallas Mavericks,Devin Harris,34,PG,33,06-Mar,185,Wisconsin,4053446
Dallas Mavericks,David Lee,42,PF,33,06-Sep,245,Florida,2085671
Dallas Mavericks,Wesley Matthews,23,SG,29,06-May,220,Marquette,16407500
Dallas Mavericks,JaVale McGee,11,C,28,7-0,270,Nevada,1270964
Dallas Mavericks,Salah Mejri,50,C,29,07-Feb,245,,525093
Dallas Mavericks,Dirk Nowitzki,41,PF,37,7-0,245,,8333334
Dallas Mavericks,Zaza Pachulia,27,C,32,06-Nov,275,,5200000
Dallas Mavericks,Chandler Parsons,25,SF,27,06-Oct,230,Florida,15361500
Dallas Mavericks,Dwight Powell,7,PF,24,06-Nov,240,Stanford,845059
Dallas Mavericks,Charlie Villanueva,3,PF,31,06-Nov,232,Connecticut,947276
Dallas Mavericks,Deron Williams,8,PG,31,06-Mar,200,Illinois,5378974
Houston Rockets,Trevor Ariza,1,SF,30,06-Aug,215,UCLA,8193030
Houston Rockets,Michael Beasley,8,SF,27,06-Oct,235,Kansas State,306527
Houston Rockets,Patrick Beverley,2,PG,27,06-Jan,185,Arkansas,6486486
Houston Rockets,Corey Brewer,33,SG,30,06-Sep,186,Florida,8229375
Houston Rockets,Clint Capela,15,PF,22,06-Oct,240,,1242720
Houston Rockets,Sam Dekker,7,SF,22,06-Sep,230,Wisconsin,1646400
Houston Rockets,Andrew Goudelock,0,PG,27,06-Mar,200,Charleston,200600
Houston Rockets,James Harden,13,SG,26,06-May,220,Arizona State,15756438
Houston Rockets,Montrezl Harrell,35,PF,22,06-Aug,240,Louisville,1000000
Houston Rockets,Dwight Howard,12,C,30,06-Nov,265,,22359364
Houston Rockets,Terrence Jones,6,PF,24,06-Sep,252,Kentucky,2489530
Houston Rockets,K.J. McDaniels,32,SG,23,06-Jun,205,Clemson,3189794
Houston Rockets,Donatas Motiejunas,20,PF,25,7-0,222,,2288205
Houston Rockets,Josh Smith,5,C,30,06-Sep,225,,947276
Houston Rockets,Jason Terry,31,SG,38,06-Feb,185,Arizona,947276
Memphis Grizzlies,Jordan Adams,3,SG,21,06-May,209,UCLA,1404600
Memphis Grizzlies,Tony Allen,9,SG,34,06-Apr,213,Oklahoma State,5158539
Memphis Grizzlies,Chris Andersen,7,PF,37,06-Oct,245,Blinn College,5000000
Memphis Grizzlies,Matt Barnes,22,SF,36,06-Jul,226,UCLA,3542500
Memphis Grizzlies,Vince Carter,15,SG,39,06-Jun,220,North Carolina,4088019
Memphis Grizzlies,Mike Conley,11,PG,28,06-Jan,175,Ohio State,9588426
Memphis Grizzlies,Bryce Cotton,8,PG,23,06-Jan,165,Providence,700902
Memphis Grizzlies,Jordan Farmar,4,PG,29,06-Feb,180,UCLA,
Memphis Grizzlies,Marc Gasol,33,C,31,07-Jan,255,,19688000
Memphis Grizzlies,JaMychal Green,0,PF,25,06-Sep,227,Alabama,845059
Memphis Grizzlies,P.J. Hairston,19,SF,23,06-Jun,230,North Carolina,1201440
Memphis Grizzlies,Jarell Martin,10,PF,22,06-Oct,239,LSU,1230840
Memphis Grizzlies,Ray McCallum,5,PG,24,06-Mar,190,Detroit,
Memphis Grizzlies,Xavier Munford,14,PG,24,06-Mar,180,Rhode Island,
Memphis Grizzlies,Zach Randolph,50,PF,34,06-Sep,260,Michigan State,9638555
Memphis Grizzlies,Lance Stephenson,1,SF,25,06-May,230,Cincinnati,9000000
Memphis Grizzlies,Alex Stepheson,35,PF,28,06-Oct,270,USC,
Memphis Grizzlies,Brandan Wright,34,PF,28,06-Oct,210,North Carolina,5464000
New Orleans Pelicans,Alexis Ajinca,42,C,28,07-Feb,248,,4389607
New Orleans Pelicans,Ryan Anderson,33,PF,28,06-Oct,240,California,8500000
New Orleans Pelicans,Omer Asik,3,C,29,7-0,255,,9213483
New Orleans Pelicans,Luke Babbitt,8,SF,26,06-Sep,225,Nevada,1100602
New Orleans Pelicans,Norris Cole,30,PG,27,06-Feb,175,Cleveland State,3036927
New Orleans Pelicans,Dante Cunningham,44,PF,29,06-Aug,230,Villanova,2850000
New Orleans Pelicans,Anthony Davis,23,PF,23,06-Oct,253,Kentucky,7070730
New Orleans Pelicans,Bryce Dejean-Jones,31,SG,23,06-Jun,203,Iowa State,169883
New Orleans Pelicans,Toney Douglas,16,PG,30,06-Feb,195,Florida State,1164858
New Orleans Pelicans,James Ennis,4,SF,25,06-Jul,210,Long Beach State,845059
New Orleans Pelicans,Tyreke Evans,1,SG,26,06-Jun,220,Memphis,10734586
New Orleans Pelicans,Tim Frazier,2,PG,25,06-Jan,170,Penn State,845059
New Orleans Pelicans,Alonzo Gee,15,SF,29,06-Jun,225,Alabama,1320000
New Orleans Pelicans,Eric Gordon,10,SG,27,06-Apr,215,Indiana,15514031
New Orleans Pelicans,Jordan Hamilton,25,SG,25,06-Jul,220,Texas,1015421
New Orleans Pelicans,Jrue Holiday,11,PG,25,06-Apr,205,UCLA,10595507
New Orleans Pelicans,Orlando Johnson,0,SG,27,06-May,220,UC Santa Barbara,55722
New Orleans Pelicans,Kendrick Perkins,5,C,31,06-Oct,270,,947276
New Orleans Pelicans,Quincy Pondexter,20,SF,28,06-Jul,220,Washington,3382023
San Antonio Spurs,LaMarcus Aldridge,12,PF,30,06-Nov,240,Texas,19689000
San Antonio Spurs,Kyle Anderson,1,SF,22,06-Sep,230,UCLA,1142880
San Antonio Spurs,Matt Bonner,15,C,36,06-Oct,235,Florida,947276
San Antonio Spurs,Boris Diaw,33,C,34,06-Aug,250,,7500000
San Antonio Spurs,Tim Duncan,21,C,40,06-Nov,250,Wake Forest,5250000
San Antonio Spurs,Manu Ginobili,20,SG,38,06-Jun,205,,2814000
San Antonio Spurs,Danny Green,14,SG,28,06-Jun,215,North Carolina,10000000
San Antonio Spurs,Kawhi Leonard,2,SF,24,06-Jul,230,San Diego State,16407500
San Antonio Spurs,Boban Marjanovic,40,C,27,07-Mar,290,,1200000
San Antonio Spurs,Kevin Martin,23,SG,33,06-Jul,199,Western Carolina,200600
San Antonio Spurs,Andre Miller,24,PG,40,06-Mar,200,Utah,250750
San Antonio Spurs,Patty Mills,8,PG,27,6-0,185,Saint Mary's,3578947
San Antonio Spurs,Tony Parker,9,PG,34,06-Feb,185,,13437500
San Antonio Spurs,Jonathon Simmons,17,SG,26,06-Jun,195,Houston,525093
San Antonio Spurs,David West,30,PF,35,06-Sep,250,Xavier,1499187
Atlanta Hawks,Kent Bazemore,24,SF,26,06-May,201,Old Dominion,2000000
Atlanta Hawks,Tim Hardaway Jr.,10,SG,24,06-Jun,205,Michigan,1304520
Atlanta Hawks,Kirk Hinrich,12,SG,35,06-Apr,190,Kansas,2854940
Atlanta Hawks,Al Horford,15,C,30,06-Oct,245,Florida,12000000
Atlanta Hawks,Kris Humphries,43,PF,31,06-Sep,235,Minnesota,1000000
Atlanta Hawks,Kyle Korver,26,SG,35,06-Jul,212,Creighton,5746479
Atlanta Hawks,Paul Millsap,4,PF,31,06-Aug,246,Louisiana Tech,18671659
Atlanta Hawks,Mike Muscala,31,PF,24,06-Nov,240,Bucknell,947276
Atlanta Hawks,Lamar Patterson,13,SG,24,06-May,225,Pittsburgh,525093
Atlanta Hawks,Dennis Schroder,17,PG,22,06-Jan,172,,1763400
Atlanta Hawks,Mike Scott,32,PF,27,06-Aug,237,Virginia,3333333
Atlanta Hawks,Thabo Sefolosha,25,SF,32,06-Jul,220,,4000000
Atlanta Hawks,Tiago Splitter,11,C,31,06-Nov,245,,9756250
Atlanta Hawks,Walter Tavares,22,C,24,07-Mar,260,,1000000
Atlanta Hawks,Jeff Teague,0,PG,27,06-Feb,186,Wake Forest,8000000
Charlotte Hornets,Nicolas Batum,5,SG,27,06-Aug,200,,13125306
Charlotte Hornets,Troy Daniels,30,SG,24,06-Apr,205,Virginia Commonwealth,947276
Charlotte Hornets,Jorge Gutierrez,12,PG,27,06-Mar,189,California,189455
Charlotte Hornets,Tyler Hansbrough,50,PF,30,06-Sep,250,North Carolina,947276
Charlotte Hornets,Aaron Harrison,9,SG,21,06-Jun,210,Kentucky,525093
Charlotte Hornets,Spencer Hawes,0,PF,28,07-Jan,245,Washington,6110034
Charlotte Hornets,Al Jefferson,25,C,31,06-Oct,289,,13500000
Charlotte Hornets,Frank Kaminsky III,44,C,23,7-0,240,Wisconsin,2612520
Charlotte Hornets,Michael Kidd-Gilchrist,14,SF,22,06-Jul,232,Kentucky,6331404
Charlotte Hornets,Jeremy Lamb,3,SG,24,06-May,185,Connecticut,3034356
Charlotte Hornets,Courtney Lee,1,SG,30,06-May,200,Western Kentucky,5675000
Charlotte Hornets,Jeremy Lin,7,PG,27,06-Mar,200,Harvard,2139000
Charlotte Hornets,Kemba Walker,15,PG,26,06-Jan,184,Connecticut,12000000
Charlotte Hornets,Marvin Williams,2,PF,29,06-Sep,237,North Carolina,7000000
Charlotte Hornets,Cody Zeller,40,C,23,7-0,240,Indiana,4204200
Miami Heat,Chris Bosh,1,PF,32,06-Nov,235,Georgia Tech,22192730
Miami Heat,Luol Deng,9,SF,31,06-Sep,220,Duke,10151612
Miami Heat,Goran Dragic,7,PG,30,06-Mar,190,,14783000
Miami Heat,Gerald Green,14,SF,30,06-Jul,205,,947276
Miami Heat,Udonis Haslem,40,PF,36,06-Aug,235,Florida,2854940
Miami Heat,Joe Johnson,2,SF,34,06-Jul,240,Arkansas,261894
Miami Heat,Tyler Johnson,8,SG,24,06-Apr,186,Fresno State,845059
Miami Heat,Josh McRoberts,4,PF,29,06-Oct,240,Duke,5543725
Miami Heat,Josh Richardson,0,SG,22,06-Jun,200,Tennessee,525093
Miami Heat,Amar'e Stoudemire,5,PF,33,06-Oct,245,,947276
Miami Heat,Dwyane Wade,3,SG,34,06-Apr,220,Marquette,20000000
Miami Heat,Briante Weber,12,PG,23,06-Feb,165,Virginia Commonwealth,
Miami Heat,Hassan Whiteside,21,C,26,7-0,265,Marshall,981348
Miami Heat,Justise Winslow,20,SF,20,06-Jul,225,Duke,2481720
Miami Heat,Dorell Wright,11,SF,30,06-Sep,205,,
Orlando Magic,Dewayne Dedmon,3,C,26,7-0,245,USC,947276
Orlando Magic,Evan Fournier,10,SG,23,06-Jul,205,,2288205
Orlando Magic,Aaron Gordon,0,PF,20,06-Sep,220,Arizona,4171680
Orlando Magic,Mario Hezonja,23,SG,21,06-Aug,218,,3741480
Orlando Magic,Ersan Ilyasova,7,PF,29,06-Oct,235,,7900000
Orlando Magic,Brandon Jennings,55,PG,26,06-Jan,169,,8344497
Orlando Magic,Devyn Marble,11,SF,23,06-Jun,200,Iowa,845059
Orlando Magic,Shabazz Napier,13,PG,24,06-Jan,175,Connecticut,1294440
Orlando Magic,Andrew Nicholson,44,PF,26,06-Sep,250,St. Bonaventure,2380593
Orlando Magic,Victor Oladipo,5,SG,24,06-Apr,210,Indiana,5192520
Orlando Magic,Elfrid Payton,4,PG,22,06-Apr,185,Louisiana-Lafayette,2505720
Orlando Magic,Jason Smith,14,PF,30,7-0,240,Colorado State,4300000
Orlando Magic,Nikola Vucevic,9,C,25,7-0,260,USC,11250000
Orlando Magic,C.J. Watson,32,PG,32,06-Feb,175,Tennessee,5000000
Washington Wizards,Alan Anderson,6,SG,33,06-Jun,220,Michigan State,4000000
Washington Wizards,Bradley Beal,3,SG,22,06-May,207,Florida,5694674
Washington Wizards,Jared Dudley,1,SF,30,06-Jul,225,Boston College,4375000
Washington Wizards,Jarell Eddie,8,SG,24,06-Jul,218,Virginia Tech,561716
Washington Wizards,Drew Gooden,90,PF,34,06-Oct,250,Kansas,3300000
Washington Wizards,Marcin Gortat,13,C,32,06-Nov,240,,11217391
Washington Wizards,JJ Hickson,21,C,27,06-Sep,242,North Carolina State,273038
Washington Wizards,Nene Hilario,42,C,33,06-Nov,250,,13000000
Washington Wizards,Markieff Morris,5,PF,26,06-Oct,245,Kansas,8000000
Washington Wizards,Kelly Oubre Jr.,12,SF,20,06-Jul,205,Kansas,1920240
Washington Wizards,Otto Porter Jr.,22,SF,23,06-Aug,198,Georgetown,4662960
Washington Wizards,Ramon Sessions,7,PG,30,06-Mar,190,Nevada,2170465
Washington Wizards,Garrett Temple,17,SG,30,06-Jun,195,LSU,1100602
Washington Wizards,Marcus Thornton,15,SF,29,06-Apr,205,LSU,200600
Washington Wizards,John Wall,2,PG,25,06-Apr,195,Kentucky,15851950
Denver Nuggets,Darrell Arthur,0,PF,28,06-Sep,235,Kansas,2814000
Denver Nuggets,D.J. Augustin,12,PG,28,6-0,183,Texas,3000000
Denver Nuggets,Will Barton,5,SF,25,06-Jun,175,Memphis,3533333
Denver Nuggets,Wilson Chandler,21,SF,29,06-Aug,225,DePaul,10449438
Denver Nuggets,Kenneth Faried,35,PF,26,06-Aug,228,Morehead State,11235955
Denver Nuggets,Danilo Gallinari,8,SF,27,06-Oct,225,,14000000
Denver Nuggets,Gary Harris,14,SG,21,06-Apr,210,Michigan State,1584480
Denver Nuggets,Nikola Jokic,15,C,21,06-Oct,250,,1300000
Denver Nuggets,Joffrey Lauvergne,77,C,24,06-Nov,220,,1709719
Denver Nuggets,Mike Miller,3,SG,36,06-Aug,218,Florida,947276
Denver Nuggets,Emmanuel Mudiay,0,PG,20,06-May,200,,3102240
Denver Nuggets,Jameer Nelson,1,PG,34,6-0,190,Saint Joseph's,4345000
Denver Nuggets,Jusuf Nurkic,23,C,21,7-0,280,,1842000
Denver Nuggets,JaKarr Sampson,9,SG,23,06-Sep,214,St. John's,258489
Denver Nuggets,Axel Toupane,6,SG,23,06-Jul,210,,
Minnesota Timberwolves,Nemanja Bjelica,88,PF,28,06-Oct,240,,3950001
Minnesota Timberwolves,Gorgui Dieng,5,C,26,06-Nov,241,Louisville,1474440
Minnesota Timberwolves,Kevin Garnett,21,PF,40,06-Nov,240,,8500000
Minnesota Timberwolves,Tyus Jones,1,PG,20,06-Feb,195,Duke,1282080
Minnesota Timberwolves,Zach LaVine,8,PG,21,06-May,189,UCLA,2148360
Minnesota Timberwolves,Shabazz Muhammad,15,SF,23,06-Jun,223,UCLA,2056920
Minnesota Timberwolves,Adreian Payne,33,PF,25,06-Oct,237,Michigan State,1938840
Minnesota Timberwolves,Nikola Pekovic,14,C,30,06-Nov,307,,12100000
Minnesota Timberwolves,Tayshaun Prince,12,SF,36,06-Sep,212,Kentucky,947276
Minnesota Timberwolves,Ricky Rubio,9,PG,25,06-Apr,194,,12700000
Minnesota Timberwolves,Damjan Rudez,10,SF,29,06-Sep,230,,1149500
Minnesota Timberwolves,Greg Smith,4,PF,25,06-Oct,250,Fresno State,
Minnesota Timberwolves,Karl-Anthony Towns,32,C,20,7-0,244,Kentucky,5703600
Minnesota Timberwolves,Andrew Wiggins,22,SG,21,06-Aug,199,Kansas,5758680
Oklahoma City Thunder,Steven Adams,12,C,22,7-0,255,Pittsburgh,2279040
Oklahoma City Thunder,Nick Collison,4,PF,35,06-Oct,255,Kansas,3750000
Oklahoma City Thunder,Kevin Durant,35,SF,27,06-Sep,240,Texas,20158622
Oklahoma City Thunder,Randy Foye,6,SG,32,06-Apr,213,Villanova,3135000
Oklahoma City Thunder,Josh Huestis,34,SF,24,06-Jul,230,Stanford,1140240
Oklahoma City Thunder,Serge Ibaka,9,PF,26,06-Oct,245,,12250000
Oklahoma City Thunder,Enes Kanter,11,C,24,06-Nov,245,Kentucky,16407500
Oklahoma City Thunder,Mitch McGary,33,PF,24,06-Oct,255,Michigan,1463040
Oklahoma City Thunder,Nazr Mohammed,13,C,38,06-Oct,250,Kentucky,222888
Oklahoma City Thunder,Anthony Morrow,2,SG,30,06-May,210,Georgia Tech,3344000
Oklahoma City Thunder,Cameron Payne,22,PG,21,06-Mar,185,Murray State,2021520
Oklahoma City Thunder,Andre Roberson,21,SG,24,06-Jul,210,Colorado,1210800
Oklahoma City Thunder,Kyle Singler,5,SF,28,06-Aug,228,Duke,4500000
Oklahoma City Thunder,Dion Waiters,3,SG,24,06-Apr,220,Syracuse,5138430
Oklahoma City Thunder,Russell Westbrook,0,PG,27,06-Mar,200,UCLA,16744218
Portland Trail Blazers,Cliff Alexander,34,PF,20,06-Aug,240,Kansas,525093
Portland Trail Blazers,Al-Farouq Aminu,8,SF,25,06-Sep,215,Wake Forest,8042895
Portland Trail Blazers,Pat Connaughton,5,SG,23,06-May,206,Notre Dame,625093
Portland Trail Blazers,Allen Crabbe,23,SG,24,06-Jun,210,California,947276
Portland Trail Blazers,Ed Davis,17,C,27,06-Oct,240,North Carolina,6980802
Portland Trail Blazers,Maurice Harkless,4,SF,23,06-Sep,215,St. John's,2894059
Portland Trail Blazers,Gerald Henderson,9,SG,28,06-May,215,Duke,6000000
Portland Trail Blazers,Chris Kaman,35,C,34,7-0,265,Central Michigan,5016000
Portland Trail Blazers,Meyers Leonard,11,PF,24,07-Jan,245,Illinois,3075880
Portland Trail Blazers,Damian Lillard,0,PG,25,06-Mar,195,Weber State,4236287
Portland Trail Blazers,C.J. McCollum,3,SG,24,06-Apr,200,Lehigh,2525160
Portland Trail Blazers,Luis Montero,44,SG,23,06-Jul,185,Westchester CC,525093
Portland Trail Blazers,Mason Plumlee,24,C,26,06-Nov,235,Duke,1415520
Portland Trail Blazers,Brian Roberts,2,PG,30,06-Jan,173,Dayton,2854940
Portland Trail Blazers,Noah Vonleh,21,PF,20,06-Sep,240,Indiana,2637720
Utah Jazz,Trevor Booker,33,PF,28,06-Aug,228,Clemson,4775000
Utah Jazz,Trey Burke,3,PG,23,06-Jan,191,Michigan,2658240
Utah Jazz,Alec Burks,10,SG,24,06-Jun,214,Colorado,9463484
Utah Jazz,Dante Exum,11,PG,20,06-Jun,190,,3777720
Utah Jazz,Derrick Favors,15,PF,24,06-Oct,265,Georgia Tech,12000000
Utah Jazz,Rudy Gobert,27,C,23,07-Jan,245,,1175880
Utah Jazz,Gordon Hayward,20,SF,26,06-Aug,226,Butler,15409570
Utah Jazz,Rodney Hood,5,SG,23,06-Aug,206,Duke,1348440
Utah Jazz,Joe Ingles,2,SF,28,06-Aug,226,,2050000
Utah Jazz,Chris Johnson,23,SF,26,06-Jun,206,Dayton,981348
Utah Jazz,Trey Lyles,41,PF,20,06-Oct,234,Kentucky,2239800
Utah Jazz,Shelvin Mack,8,PG,26,06-Mar,203,Butler,2433333
Utah Jazz,Raul Neto,25,PG,24,06-Jan,179,,900000
Utah Jazz,Tibor Pleiss,21,C,26,07-Mar,256,,2900000
Utah Jazz,Jeff Withey,24,C,26,7-0,231,Kansas,947276
